,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Match Type,Date,Player ID
70,1,6,5,0,0,20,4,lbw,4,South Africa,Johannesburg,Test ,26-11-1992,1
71,15,-,27,1,0,55.55,4,bowled,1,South Africa,Cape Town,ODI ,07-12-1992,1
72,10,-,36,0,0,27.77,4,caught,1,South Africa,Gqeberha,ODI ,09-12-1992,1
73,22,-,24,2,0,91.66,5,caught,2,South Africa,Centurion,ODI ,11-12-1992,1
74,21,-,44,1,0,47.72,5,caught,1,South Africa,Johannesburg,ODI ,13-12-1992,1
75,32,-,52,1,0,61.53,5,bowled,1,South Africa,Bloemfontein,ODI ,15-12-1992,1
76,23,-,39,0,0,58.97,5,caught,2,South Africa,Durban,ODI ,17-12-1992,1
77,21,-,38,3,0,55.26,3,caught,2,South Africa,East London,ODI ,19-12-1992,1
78,6,27,17,1,0,35.29,4,caught,1,South Africa,Gqeberha,Test ,26-12-1992,1
79,0,1,1,0,0,0,4,caught,3,South Africa,Gqeberha,Test ,26-12-1992,1
80,73,272,208,8,1,35.09,5,caught,2,South Africa,Cape Town,Test ,02-01-1993,1
82,82,116,81,6,1,101.23,5,not out,1,England,Jaipur,ODI ,18-01-1993,1
83,1,9,5,0,0,20,5,lbw,2,England,Chandigarh,ODI ,21-01-1993,1
84,50,158,118,6,0,42.37,4,caught,1,England,Eden Gardens,Test ,29-01-1993,1
85,9,17,19,2,0,47.36,4,not out,4,England,Eden Gardens,Test ,29-01-1993,1
86,165,361,296,24,1,55.74,4,caught,1,England,Chennai,Test ,11-02-1993,1
87,78,285,213,10,0,36.61,4,lbw,2,England,Wankhede,Test ,19-02-1993,1
88,3,7,6,0,0,50,4,caught,2,England,Bengaluru,ODI ,26-02-1993,1
89,24,42,32,1,0,75,4,bowled,1,England,Jamshedpur,ODI ,01-03-1993,1
90,5,7,6,1,0,83.33,5,bowled,2,England,Gwalior,ODI ,04-03-1993,1
91,34,42,30,2,1,113.33,5,caught,2,England,Gwalior,ODI ,05-03-1993,1
92,62,128,114,7,0,54.38,4,caught,1,Zimbabwe,Delhi,Test ,13-03-1993,1
93,3,16,9,0,0,33.33,5,caught,1,Zimbabwe,Faridabad,ODI ,19-03-1993,1
94,8,8,6,0,0,133.33,5,not out,2,Zimbabwe,Guwahati,ODI ,22-03-1993,1
97,21,-,39,1,0,53.84,5,caught,1,Sri Lanka,Colombo (RPS),ODI ,25-07-1993,1
98,28,74,52,5,0,53.84,4,caught,1,Sri Lanka,Colombo (SSC),Test ,27-07-1993,1
99,104,217,161,11,1,64.59,4,not out,3,Sri Lanka,Colombo (SSC),Test ,27-07-1993,1
100,71,202,152,10,0,46.71,4,caught,2,Sri Lanka,Colombo (PSS),Test ,04-08-1993,1
101,15,-,30,0,0,50,5,run out,2,Sri Lanka,Colombo (RPS),ODI ,12-08-1993,1
102,25,-,39,1,0,64.1,5,caught,1,Sri Lanka,Moratuwa,ODI ,14-08-1993,1
103,26,-,30,4,0,86.66,5,not out,2,Sri Lanka,Kanpur,ODI ,07-11-1993,1
104,2,-,8,0,0,25,5,lbw,2,West Indies,Ahmedabad,ODI ,16-11-1993,1
105,24,22,16,1,1,150,6,caught,1,Zimbabwe,Indore,ODI ,18-11-1993,1
106,3,-,25,0,0,12,4,caught,1,South Africa,Mohali,ODI ,22-11-1993,1
107,15,-,31,3,0,48.38,5,caught,1,South Africa,Eden Gardens,ODI ,24-11-1993,1
108,28,-,43,2,0,65.11,5,not out,1,West Indies,Eden Gardens,ODI ,27-11-1993,1
109,142,260,224,22,0,63.39,4,caught,1,Sri Lanka,Lucknow,Test ,18-01-1994,1
110,96,180,140,15,0,68.57,4,bowled,1,Sri Lanka,Bengaluru,Test ,26-01-1994,1
111,6,25,14,1,0,42.85,4,bowled,2,Sri Lanka,Ahmedabad,Test ,08-02-1994,1
112,1,10,5,0,0,20,5,caught,1,Sri Lanka,Rajkot,ODI ,15-02-1994,1
113,11,25,18,0,0,61.11,5,not out,2,Sri Lanka,Hyderabad (Deccan),ODI ,18-02-1994,1
114,52,83,63,3,0,82.53,5,run out,1,Sri Lanka,Jalandhar,ODI ,20-02-1994,1
115,43,55,47,7,0,91.48,4,caught,2,New Zealand,Hamilton,Test ,19-03-1994,1
116,11,57,42,0,0,26.19,4,not out,4,New Zealand,Hamilton,Test ,19-03-1994,1
117,15,22,19,1,0,78.94,5,caught,2,New Zealand,Napier,ODI ,25-03-1994,1
118,82,69,49,15,2,167.34,2,caught,2,New Zealand,Auckland,ODI ,27-03-1994,1
119,63,91,75,9,0,84,2,lbw,1,New Zealand,Wellington,ODI ,30-03-1994,1
120,40,34,26,8,0,153.84,2,bowled,1,New Zealand,Christchurch,ODI ,02-04-1994,1
121,63,125,77,7,1,81.81,2,caught,1,U.A.E.,Sharjah,ODI ,13-04-1994,1
122,73,96,64,10,3,114.06,2,caught,1,Pakistan,Sharjah,ODI ,15-04-1994,1
123,6,12,7,1,0,85.71,2,caught,2,Australia,Sharjah,ODI ,19-04-1994,1
124,24,59,26,4,0,92.3,2,caught,2,Pakistan,Sharjah,ODI ,22-04-1994,1
125,11,-,16,2,0,68.75,2,not out,1,Sri Lanka,Colombo (RPS),ODI ,04-09-1994,1
126,6,13,5,0,0,120,2,caught,1,Sri Lanka,Colombo (RPS),ODI ,05-09-1994,1
127,110,186,130,8,2,84.61,2,bowled,1,Australia,Colombo (RPS),ODI ,09-09-1994,1
128,0,6,2,0,0,0,2,caught,2,Sri Lanka,Colombo (SSC),ODI ,17-09-1994,1
129,0,3,4,0,0,0,2,caught,2,West Indies,Faridabad,ODI ,17-10-1994,1
130,0,7,4,0,0,0,2,caught,2,West Indies,Wankhede,ODI ,20-10-1994,1
131,8,28,24,0,0,33.33,3,caught,2,West Indies,Chennai,ODI ,23-10-1994,1
132,115,184,136,9,3,84.55,2,run out,2,New Zealand,Vadodara,ODI ,28-10-1994,1
