,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Match Type,Date,Player ID
221,62,124,78,5,0,79.48,4,caught,1, West Indies,Delhi,ODI ,11-10-2014,2
222,127,164,114,13,3,111.4,3,run out,1, West Indies,Dharamsala,ODI ,17-10-2014,2
223,22,34,21,2,0,104.76,4,caught,1, Sri Lanka,Cuttack,ODI ,02-11-2014,2
224,49,-,44,2,2,111.36,4,caught,2, Sri Lanka,Ahmedabad,ODI ,06-11-2014,2
225,53,-,61,4,1,86.88,4,caught,2, Sri Lanka,Hyderabad,ODI ,09-11-2014,2
226,66,109,64,6,0,103.12,4,run out,1, Sri Lanka,Eden Gardens,ODI ,13-11-2014,2
227,139,192,126,12,3,110.31,4,not out,2, Sri Lanka,Ranchi,ODI ,16-11-2014,2
228,115,267,184,12,0,62.5,4,caught,2, Australia,Adelaide,Test ,09-12-2014,2
229,141,279,175,16,1,80.57,4,caught,4, Australia,Adelaide,Test ,09-12-2014,2
230,19,50,27,1,0,70.37,4,caught,1, Australia,Brisbane,Test ,17-12-2014,2
231,1,14,11,0,0,9.09,4,bowled,3, Australia,Brisbane,Test ,17-12-2014,2
232,169,380,272,18,0,62.13,4,caught,2, Australia,Melbourne,Test ,26-12-2014,2
233,54,134,99,7,0,54.54,4,caught,4, Australia,Melbourne,Test ,26-12-2014,2
234,147,315,230,20,0,63.91,4,caught,2, Australia,Sydney,Test ,06-01-2015,2
235,46,123,95,3,0,48.42,4,caught,4, Australia,Sydney,Test ,06-01-2015,2
236,9,24,16,0,0,56.25,4,caught,1, Australia,Melbourne,ODI ,18-01-2015,2
237,4,13,8,0,0,50,4,caught,1, England,Brisbane,ODI ,20-01-2015,2
238,3,8,9,0,0,33.33,4,not out,1, Australia,Sydney,ODI ,26-01-2015,2
239,8,26,19,0,0,42.1,3,caught,1, England,Perth,ODI ,30-01-2015,2
240,107,168,126,8,0,84.92,3,caught,1, Pakistan,Adelaide,ODI ,15-02-2015,2
241,46,106,60,3,0,76.66,3,caught,1, South Africa,Melbourne,ODI ,22-02-2015,2
242,33,49,41,5,0,80.48,3,not out,2, U.A.E.,Perth,ODI ,28-02-2015,2
243,33,51,36,5,0,91.66,3,caught,2, West Indies,Perth,ODI ,06-03-2015,2
244,44,64,42,4,1,104.76,3,not out,2, Ireland,Hamilton,ODI ,10-03-2015,2
245,38,71,48,4,0,79.16,3,bowled,2, Zimbabwe,Auckland,ODI ,14-03-2015,2
246,3,6,8,0,0,37.5,3,caught,1, Bangladesh,Melbourne,ODI ,19-03-2015,2
247,1,11,13,0,0,7.69,3,caught,2, Australia,Sydney,ODI ,26-03-2015,2
248,14,17,22,2,0,63.63,4,bowled,1, Bangladesh,Fatullah,Test ,10-06-2015,2
249,1,9,4,0,0,25,3,caught,2, Bangladesh,Mirpur,ODI ,18-06-2015,2
250,23,57,27,3,1,85.18,3,lbw,1, Bangladesh,Mirpur,ODI ,21-06-2015,2
251,25,55,35,1,0,71.42,3,bowled,1, Bangladesh,Mirpur,ODI ,24-06-2015,2
252,103,266,191,11,0,53.92,4,lbw,2, Sri Lanka,Galle,Test ,12-08-2015,2
253,3,14,10,0,0,30,5,caught,4, Sri Lanka,Galle,Test ,12-08-2015,2
254,78,178,107,8,1,72.89,4,caught,1, Sri Lanka,Colombo (PSS),Test ,20-08-2015,2
255,10,33,19,0,0,52.63,4,lbw,3, Sri Lanka,Colombo (PSS),Test ,20-08-2015,2
256,18,96,60,3,0,30,4,caught,1, Sri Lanka,Colombo (SSC),Test ,28-08-2015,2
257,21,87,63,2,0,33.33,4,caught,3, Sri Lanka,Colombo (SSC),Test ,28-08-2015,2
258,43,58,27,1,3,159.25,3,caught,1, South Africa,Dharamsala,T20I ,02-10-2015,2
259,1,3,1,0,0,100,3,run out,1, South Africa,Cuttack,T20I ,05-10-2015,2
260,11,29,18,0,0,61.11,4,caught,2, South Africa,Kanpur,ODI ,11-10-2015,2
261,12,24,18,0,0,66.66,4,run out,1, South Africa,Indore,ODI ,14-10-2015,2
262,77,155,99,5,0,77.77,3,caught,2, South Africa,Rajkot,ODI ,18-10-2015,2
263,138,202,140,6,5,98.57,3,caught,1, South Africa,Chennai,ODI ,22-10-2015,2
264,7,11,6,0,1,116.66,3,caught,2, South Africa,Wankhede,ODI ,25-10-2015,2
265,1,5,4,0,0,25,4,caught,1, South Africa,Mohali,Test ,05-11-2015,2
266,29,92,71,4,0,40.84,4,caught,3, South Africa,Mohali,Test ,05-11-2015,2
268,22,73,55,2,0,40,4,caught,1, South Africa,Nagpur,Test ,25-11-2015,2
269,16,49,30,2,0,53.33,4,caught,3, South Africa,Nagpur,Test ,25-11-2015,2
270,44,74,62,7,0,70.96,4,caught,1, South Africa,Delhi,Test ,03-12-2015,2
271,88,259,165,10,0,53.33,5,lbw,3, South Africa,Delhi,Test ,03-12-2015,2
272,91,148,97,9,1,93.81,3,caught,1, Australia,Perth,ODI ,12-01-2016,2
273,59,84,67,4,0,88.05,3,run out,1, Australia,Brisbane,ODI ,15-01-2016,2
274,117,174,117,7,2,100,3,caught,1, Australia,Melbourne,ODI ,17-01-2016,2
275,106,131,92,11,1,115.21,3,caught,2, Australia,Canberra,ODI ,20-01-2016,2
276,8,11,11,1,0,72.72,3,caught,2, Australia,Sydney,ODI ,23-01-2016,2
277,90,71,55,9,2,163.63,3,not out,1, Australia,Adelaide,T20I ,26-01-2016,2
278,59,44,33,7,1,178.78,3,not out,1, Australia,Melbourne,T20I ,29-01-2016,2
279,50,49,36,2,1,138.88,3,bowled,2, Australia,Sydney,T20I ,31-01-2016,2
280,7,13,12,1,0,58.33,3,caught,1, Bangladesh,Mirpur,T20I ,24-02-2016,2
281,49,71,51,7,0,96.07,3,lbw,2, Pakistan,Mirpur,T20I ,27-02-2016,2
282,56,85,47,7,0,119.14,3,not out,2, Sri Lanka,Mirpur,T20I ,01-03-2016,2
284,41,62,28,5,0,146.42,3,not out,2, Bangladesh,Mirpur,T20I ,06-03-2016,2
285,23,-,27,2,0,85.18,3,caught,2, New Zealand,Nagpur,T20I ,15-03-2016,2
286,55,66,37,7,1,148.64,3,not out,2, Pakistan,Eden Gardens,T20I ,19-03-2016,2
287,24,37,24,0,1,100,3,bowled,1, Bangladesh,Bengaluru,T20I ,23-03-2016,2
288,82,78,51,9,2,160.78,3,not out,2, Australia,Mohali,T20I ,27-03-2016,2
289,89,63,47,11,1,189.36,3,not out,1, West Indies,Wankhede,T20I ,31-03-2016,2
290,200,375,283,24,0,70.67,4,bowled,1, West Indies,North Sound,Test ,21-07-2016,2
291,44,144,90,4,1,48.88,4,caught,2, West Indies,Kingston,Test ,30-07-2016,2
292,3,17,8,0,0,37.5,3,caught,1, West Indies,Gros Islet,Test ,09-08-2016,2
293,4,21,17,0,0,23.52,3,lbw,3, West Indies,Gros Islet,Test ,09-08-2016,2
295,16,8,9,3,0,177.77,3,caught,2, West Indies,Lauderhill,T20I ,27-08-2016,2
297,9,12,10,2,0,90,4,caught,1, New Zealand,Kanpur,Test ,22-09-2016,2
298,18,45,40,3,0,45,4,caught,3, New Zealand,Kanpur,Test ,22-09-2016,2
299,9,42,28,1,0,32.14,4,caught,1, New Zealand,Eden Gardens,Test ,30-09-2016,2
300,45,82,65,7,0,69.23,4,lbw,3, New Zealand,Eden Gardens,Test ,30-09-2016,2
301,211,536,366,20,0,57.65,4,lbw,1, New Zealand,Indore,Test ,08-10-2016,2
302,17,36,28,1,0,60.71,4,lbw,3, New Zealand,Indore,Test ,08-10-2016,2
303,85,109,81,9,1,104.93,3,not out,2, New Zealand,Dharamsala,ODI ,16-10-2016,2
304,9,18,13,1,0,69.23,3,caught,2, New Zealand,Delhi,ODI ,20-10-2016,2
305,154,202,134,16,1,114.92,3,not out,2, New Zealand,Mohali,ODI ,23-10-2016,2
306,45,64,51,2,1,88.23,3,caught,2, New Zealand,Ranchi,ODI ,26-10-2016,2
307,65,152,76,2,1,85.52,3,caught,1, New Zealand,Visakhapatnam,ODI ,29-10-2016,2
308,40,135,95,5,0,42.1,4,hit wicket,2, England,Rajkot,Test ,09-11-2016,2
309,49,129,98,6,0,50,4,not out,4, England,Rajkot,Test ,09-11-2016,2
310,167,401,267,18,0,62.54,4,caught,1, England,Visakhapatnam,Test ,17-11-2016,2
311,81,172,109,8,0,74.31,4,caught,3, England,Visakhapatnam,Test ,17-11-2016,2
312,62,161,127,9,0,48.81,4,caught,2, England,Mohali,Test ,26-11-2016,2
313,6,11,11,0,0,54.54,4,not out,4, England,Mohali,Test ,26-11-2016,2
314,235,515,340,25,1,69.11,4,caught,2, England,Wankhede,Test ,08-12-2016,2
315,15,44,29,1,0,51.72,4,caught,2, England,Chennai,Test ,16-12-2016,2
316,122,147,105,8,5,116.19,3,caught,2, England,Pune,ODI ,15-01-2017,2
317,8,6,5,2,0,160,3,caught,1, England,Cuttack,ODI ,19-01-2017,2
318,55,81,63,8,0,87.3,3,caught,2, England,Eden Gardens,ODI ,22-01-2017,2
319,29,34,26,4,0,111.53,1,caught,1, England,Kanpur,T20I ,26-01-2017,2
320,21,17,15,2,1,140,1,caught,1, England,Nagpur,T20I ,29-01-2017,2
321,2,6,4,0,0,50,1,run out,1, England,Bengaluru,T20I ,01-02-2017,2
322,204,295,246,24,0,82.92,4,lbw,1, Bangladesh,Hyderabad,Test ,09-02-2017,2
323,38,51,40,2,1,95,4,caught,3, Bangladesh,Hyderabad,Test ,09-02-2017,2
324,0,2,2,0,0,0,4,caught,2, Australia,Pune,Test ,23-02-2017,2
325,13,33,37,1,0,35.13,4,bowled,4, Australia,Pune,Test ,23-02-2017,2
326,12,25,17,2,0,70.58,4,lbw,1, Australia,Bengaluru,Test ,04-03-2017,2
327,15,34,25,1,0,60,4,lbw,3, Australia,Bengaluru,Test ,04-03-2017,2
328,6,38,23,0,0,26.08,4,caught,2, Australia,Ranchi,Test ,16-03-2017,2
329,81,108,68,6,3,119.11,3,not out,1, Pakistan,Birmingham,ODI ,04-06-2017,2
330,0,5,5,0,0,0,3,caught,1, Sri Lanka,The Oval,ODI ,08-06-2017,2
331,76,136,101,7,1,75.24,3,not out,2, South Africa,The Oval,ODI ,11-06-2017,2
332,96,96,78,13,0,123.07,3,not out,2, Bangladesh,Birmingham,ODI ,15-06-2017,2
333,5,11,9,0,0,55.55,3,caught,2, Pakistan,The Oval,ODI ,18-06-2017,2
334,32,-,47,1,0,68.08,3,not out,1, West Indies,Port of Spain,ODI ,23-06-2017,2
335,87,-,66,4,4,131.81,3,caught,1, West Indies,Port of Spain,ODI ,25-06-2017,2
336,11,-,22,2,0,50,3,caught,1, West Indies,North Sound,ODI ,30-06-2017,2
337,3,-,12,0,0,25,3,caught,2, West Indies,North Sound,ODI ,02-07-2017,2
338,111,-,115,12,2,96.52,3,not out,2, West Indies,Kingston,ODI ,06-07-2017,2
339,39,-,22,7,1,177.27,1,caught,1, West Indies,Kingston,T20I ,09-07-2017,2
340,3,15,8,0,0,37.5,4,caught,1, Sri Lanka,Galle,Test ,26-07-2017,2
341,103,158,136,5,1,75.73,4,not out,3, Sri Lanka,Galle,Test ,26-07-2017,2
342,13,31,29,2,0,44.82,4,caught,1, Sri Lanka,Colombo (SSC),Test ,03-08-2017,2
343,42,119,84,3,0,50,4,caught,1, Sri Lanka,Pallekele,Test ,12-08-2017,2
344,82,-,70,10,1,117.14,3,not out,2, Sri Lanka,Dambulla,ODI ,20-08-2017,2
345,4,-,2,1,0,200,5,bowled,2, Sri Lanka,Pallekele,ODI ,24-08-2017,2
346,3,-,11,0,0,27.27,3,caught,2, Sri Lanka,Pallekele,ODI ,27-08-2017,2
347,131,-,96,17,2,136.45,3,caught,1, Sri Lanka,Colombo (RPS),ODI ,31-08-2017,2
348,110,-,116,9,0,94.82,3,not out,2, Sri Lanka,Colombo (RPS),ODI ,03-09-2017,2
349,82,-,54,7,1,151.85,3,caught,2, Sri Lanka,Colombo (RPS),T20I ,06-09-2017,2
350,0,7,4,0,0,0,3,caught,1, Australia,Chennai,ODI ,17-09-2017,2
